University,Country,Latitude,Longitude
University of Development Alternative,Bangladesh,23.7520198,90.3670806
University of Dhaka,Bangladesh,23.733836,90.3928742
University of Information Technology & Sciences,Bangladesh,23.8014053,90.42618159999999
University of Liberal Arts,Bangladesh,23.7603294,90.3491378
University of Rajshahi,Bangladesh,24.368195,88.6376358
University of Science & Technology Chittagong,Bangladesh,22.3609481,91.79755469999999
World University of Bangladesh,Bangladesh,23.8510552,90.3712592
Brexgata University Academy,Belgium,50.503887,4.469936
Brussels Management School (ICHEC),Belgium,50.8382477,4.408542199999999
Brussels School of International Studies,Belgium,50.8269163,4.3975707
College of Europe,Belgium,51.2060517,3.226185
Continental Theological Seminary,Belgium,50.8001031,4.259052899999999
ECAM - Institut Supérieur Industriel,Belgium,50.850219,4.4540469
EHSAL - Europese Hogeschool Brussel,Belgium,50.8490502,4.3569333
Erasmushogeschool Brussel,Belgium,50.842239,4.322808
European Carolus Magnus University,Belgium,50.503887,4.469936
European International University,Belgium,48.889938,2.3381758
Evangelische Theologische Faculteit  Leuven,Belgium,50.86809909999999,4.6642997
Faculté Polytechnique de Mons,Belgium,50.4516856,3.959136599999999
Facultés Universitaires Catholiques de Mons,Belgium,50.4529289,3.9845087
Facultés Universitaires Notre-Dame de la Paix,Belgium,50.4662498,4.860503599999999
Facultés Universitaires Saint-Louis,Belgium,50.8531919,4.361161
Faculté Universitaire des Sciences Agronomiques de Gembloux,Belgium,50.5617069,4.6965067
Fondation Universitaire Luxembourgeoise,Belgium,50.503887,4.469936
Hasselt University,Belgium,50.9334607,5.3419586
Hogere Zeevaartschool - Maritime Academy,Belgium,51.2405359,4.398164299999999
Hogeschool Antwerpen,Belgium,51.2213404,4.4051485
Hogeschool voor Wetenschap en Kunst (VLEKHO)  Brussel,Belgium,50.8583868,4.3682506
Hogeschool voor Wetenschap & Kunst,Belgium,51.0521754,3.7178803
Hogeschool West-Vlaanderen (TU),Belgium,50.8217517,3.250637
Karel De Grote Hogeschool,Belgium,50.503887,4.469936
Katholieke Hogeschool Kempen,Belgium,51.16094289999999,4.961399
